# Zeit       num. v    exakt. v   Fehler
0  9.51728  30.5835  21.0662
1  17.9794  34.0001  16.0207
2  24.7779  36.2645  11.4866
3  29.8251  37.7235  7.89835
4  33.3668  38.6464  5.27959
5  35.7594  39.2236  3.46412
6  37.3361  39.5818  2.24575
7  38.3586  39.8032  1.44467
8  39.015  39.9397  0.924727
9  39.4336  40.0236  0.59001
10  39.6996  40.0752  0.375658
11  39.868  40.1069  0.238847
12  39.9746  40.1263  0.151718
13  40.042  40.1383  0.0963095
14  40.0845  40.1456  0.0611073
15  40.1113  40.1501  0.038758
16  40.1283  40.1528  0.0245756
17  40.139  40.1545  0.0155793
18  40.1457  40.1556  0.00987417
19  40.15  40.1562  0.00625715
20  40.1526  40.1566  0.00396444
21  40.1543  40.1568  0.00251144
22  40.1554  40.157  0.00159074
23  40.1561  40.1571  0.00100744
24  40.1565  40.1571  0.000637947
25  40.1568  40.1572  0.00040392
26  40.1569  40.1572  0.000255715
27  40.157  40.1572  0.00016187
28  40.1571  40.1572  0.000102454
29  40.1572  40.1572  6.48406e-05
30  40.1572  40.1572  4.10318e-05
31  40.1572  40.1572  2.59628e-05
32  40.1572  40.1572  1.64263e-05
33  40.1572  40.1572  1.03918e-05
34  40.1572  40.1572  6.57357e-06
35  40.1572  40.1572  4.15791e-06
36  40.1572  40.1572  2.62974e-06
37  40.1572  40.1572  1.66309e-06
38  40.1572  40.1572  1.05168e-06
39  40.1572  40.1572  6.65e-07
40  40.1572  40.1572  4.20462e-07
41  40.1572  40.1572  2.65828e-07
42  40.1572  40.1572  1.68053e-07
43  40.1572  40.1572  1.06234e-07
44  40.1572  40.1572  6.71508e-08
45  40.1572  40.1572  4.24436e-08
46  40.1572  40.1572  2.68255e-08
47  40.1572  40.1572  1.69535e-08
48  40.1572  40.1572  1.07138e-08
49  40.1572  40.1572  6.77029e-09
50  40.1572  40.1572  4.27806e-09
51  40.1572  40.1572  2.70312e-09
52  40.1572  40.1572  1.70789e-09
53  40.1572  40.1572  1.07904e-09
54  40.1572  40.1572  6.81695e-10
55  40.1572  40.1572  4.30653e-10
56  40.1572  40.1572  2.72045e-10
57  40.1572  40.1572  1.71845e-10
58  40.1572  40.1572  1.08543e-10
59  40.1572  40.1572  6.85603e-11
60  40.1572  40.1572  4.33076e-11
61  40.1572  40.1572  2.73559e-11
62  40.1572  40.1572  1.72804e-11
63  40.1572  40.1572  1.09139e-11
64  40.1572  40.1572  6.89226e-12
65  40.1572  40.1572  4.34852e-12
66  40.1572  40.1572  2.7498e-12
67  40.1572  40.1572  1.74083e-12
68  40.1572  40.1572  1.10134e-12
69  40.1572  40.1572  6.89226e-13
70  40.1572  40.1572  4.47642e-13
71  40.1572  40.1572  2.77112e-13
72  40.1572  40.1572  1.7053e-13
73  40.1572  40.1572  1.06581e-13
74  40.1572  40.1572  7.10543e-14
75  40.1572  40.1572  4.26326e-14
76  40.1572  40.1572  2.84217e-14
77  40.1572  40.1572  2.13163e-14
78  40.1572  40.1572  1.42109e-14
79  40.1572  40.1572  7.10543e-15
80  40.1572  40.1572  7.10543e-15
81  40.1572  40.1572  7.10543e-15
82  40.1572  40.1572  7.10543e-15
83  40.1572  40.1572  7.10543e-15
84  40.1572  40.1572  7.10543e-15
85  40.1572  40.1572  7.10543e-15
86  40.1572  40.1572  7.10543e-15
87  40.1572  40.1572  7.10543e-15
88  40.1572  40.1572  7.10543e-15
89  40.1572  40.1572  7.10543e-15
90  40.1572  40.1572  7.10543e-15
91  40.1572  40.1572  7.10543e-15
92  40.1572  40.1572  7.10543e-15
93  40.1572  40.1572  7.10543e-15
94  40.1572  40.1572  7.10543e-15
95  40.1572  40.1572  7.10543e-15
96  40.1572  40.1572  7.10543e-15
97  40.1572  40.1572  7.10543e-15
98  40.1572  40.1572  7.10543e-15
99  40.1572  40.1572  7.10543e-15
100  40.1572  40.1572  7.10543e-15
101  40.1572  40.1572  7.10543e-15
102  40.1572  40.1572  7.10543e-15
103  40.1572  40.1572  7.10543e-15
